,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
0,college,0.47,versity,0.632,univerfity,0.73,univerfity,0.677,univerfity,0.78,versity,0.808,versity,0.829,universitv,0.927,uuiversity,0.953,uuiversity,0.93,versity,0.872,versity,0.894,versity,0.895
1,provost,0.465,professor,0.612,professor,0.703,univcrfity,0.638,univerlity,0.758,universitv,0.733,univeisity,0.751,lniversity,0.923,universitv,0.929,univeisity,0.921,univer,0.824,lniversity,0.855,univer,0.831
2,professor,0.45,univerfity,0.583,univerlity,0.698,univerlity,0.633,univcrfity,0.729,univerfity,0.723,univerity,0.743,uuiversity,0.923,versity,0.926,lniversity,0.919,universitv,0.818,universitv,0.851,sity,0.817
3,cambridge,0.422,cambridge,0.556,univerfiry,0.677,univeifity,0.614,univerrity,0.696,univerlity,0.687,universitv,0.731,versity,0.913,univerity,0.923,versity,0.917,lniversity,0.814,univer,0.804,universitv,0.783
4,chancellor,0.408,regius,0.532,versity,0.666,verfity,0.585,univerity,0.69,universit,0.686,uuiversity,0.73,univerity,0.909,univeisity,0.916,universitv,0.917,niversity,0.791,sity,0.771,universities,0.693
5,academy,0.394,vicechancellor,0.528,protestor,0.636,univerfiry,0.58,univerfiry,0.685,universities,0.671,iniversity,0.727,univeisity,0.909,univeraity,0.909,univeraity,0.906,cniversity,0.75,niversity,0.765,universitys,0.688
6,colledge,0.391,trinitycollege,0.501,univerrity,0.614,trinitycollege,0.543,univerfitv,0.663,professor,0.642,cniversity,0.725,unirersity,0.888,lniversity,0.907,uaiversity,0.9,univereity,0.747,cniversity,0.764,college,0.659
7,bishop,0.39,college,0.495,verfity,0.607,college,0.528,univetfity,0.655,college,0.642,niversity,0.718,iniversity,0.886,umversity,0.899,universit,0.9,univeraity,0.742,univerity,0.734,sitv,0.654
8,canterbury,0.389,colledge,0.489,fessor,0.6,profeftor,0.513,versity,0.648,univcrfity,0.64,univeraity,0.7,universit,0.882,unitersity,0.897,univerity,0.898,univeisity,0.727,univeisity,0.733,niversity,0.65
9,rector,0.384,oxford,0.486,univcrfity,0.598,colege,0.512,college,0.636,verfity,0.602,universityof,0.7,cniversity,0.881,univereity,0.896,univereity,0.897,univerity,0.725,univereity,0.726,university—,0.648
10,archbishop,0.384,sity,0.486,sity,0.587,ftudents,0.504,univeifity,0.623,professorship,0.602,lniversity,0.692,univeraity,0.876,uaiversity,0.896,univorsity,0.895,versities,0.722,iniversity,0.723,divinity,0.633
11,diocefs,0.381,gooch,0.479,cambridge,0.579,vicechancellor,0.498,professor,0.623,colege,0.593,university—,0.677,universiy,0.876,iuniversity,0.896,iuniversity,0.895,uuiversity,0.721,universitys,0.715,ollege,0.622
12,albemarle,0.371,provost,0.465,professors,0.574,collge,0.478,verfity,0.617,jesuscollege,0.592,ersity,0.674,niversity,0.867,iniversity,0.893,unirersity,0.894,universit,0.721,versitv,0.711,peterhouse,0.621
13,dean,0.371,professors,0.453,college,0.563,collcge,0.476,coliege,0.616,versities,0.589,lucasian,0.672,iuniversity,0.863,universit,0.891,umversity,0.891,lmversity,0.719,univorsity,0.708,ersity,0.621
14,doctors,0.366,doctor,0.452,professorship,0.561,profeffor,0.474,cullege,0.616,universi,0.588,unirersity,0.666,universiiy,0.861,unirersity,0.888,dniversity,0.887,univorsity,0.719,universit,0.704,universi,0.613
15,strates,0.365,diocese,0.447,profeffor,0.549,profeflbr,0.474,collcge,0.613,christcollege,0.588,university—the,0.666,univereity,0.86,univesity,0.882,luniversity,0.886,iniversity,0.719,versify,0.701,lege,0.612
16,bernard,0.364,scholars,0.423,trinitycollege,0.549,coliege,0.467,collegc,0.603,baliol,0.584,college,0.665,univorsity,0.859,univorsity,0.881,uniersity,0.886,sity,0.705,unversity,0.7,extramural,0.611
17,chaplain,0.36,bissiop,0.418,profeflor,0.544,cambridge,0.466,cllege,0.597,newcollege,0.584,univcrsity,0.662,universty,0.853,univerrity,0.878,iniversity,0.886,mversity,0.7,ersity,0.697,versities,0.611
18,garter,0.35,chancellor,0.414,scollege,0.538,coilege,0.463,coilege,0.595,kingscollege,0.58,unliversity,0.656,college,0.845,luniversity,0.878,uoiversity,0.885,umversity,0.699,tniversity,0.694,professorship,0.609
19,durham,0.348,magistracy,0.413,profellor,0.536,lege,0.463,collge,0.584,magdalencollege,0.579,theuniversity,0.649,uiversity,0.838,udiversity,0.878,cniversity,0.884,unirersity,0.699,lmversity,0.684,graduate,0.604
20,archbifhop,0.344,doctors,0.411,univer,0.534,profelfor,0.459,ollege,0.582,trinitycollege,0.579,versitv,0.633,uiniversity,0.838,uiversity,0.876,universiiy,0.884,universities,0.696,lniver,0.681,graduating,0.603
21,commons,0.344,rector,0.411,profelfor,0.533,ollege,0.458,verlity,0.581,coliege,0.578,versify,0.624,universityof,0.838,universitr,0.875,univesity,0.882,versify,0.694,sitv,0.678,theology,0.601
22,commoncouncil,0.342,christchurch,0.411,oxford,0.527,elected,0.454,colege,0.578,collcge,0.574,universit,0.624,univenity,0.835,ulniversity,0.873,vniversity,0.882,ersity,0.687,universities,0.677,sities,0.596
23,oxford,0.339,divinity,0.408,regius,0.527,canibridge,0.449,colleg,0.576,coilege,0.572,collcge,0.616,uniersity,0.832,universty,0.873,rniversity,0.882,cniversitv,0.682,graduates,0.672,caius,0.593
24,laurence,0.337,univer,0.408,provost,0.509,ftudent,0.448,fellowof,0.57,regius,0.57,universities,0.615,collego,0.832,univcrsity,0.87,untversity,0.879,uniyersity,0.679,universty,0.67,vicechancellor,0.593
25,latine,0.336,aberdeen,0.404,profes,0.507,oxford,0.447,marifchal,0.569,divinity,0.569,collere,0.613,rsity,0.831,untversity,0.869,universiy,0.879,jniversity,0.67,rsity,0.666,students,0.588
26,sarum,0.335,student,0.402,coilege,0.506,society,0.446,trinitycollege,0.564,caiuscollege,0.567,graduates,0.611,univertity,0.829,univeriity,0.869,uniyersity,0.878,university—the,0.666,umver,0.662,colleges,0.586
27,lord,0.333,sorbonne,0.401,profefror,0.505,profeflor,0.446,fessor,0.563,queenscollege,0.563,iversity,0.61,umversity,0.828,vniversity,0.865,uiversity,0.877,rsity,0.661,niversitv,0.66,graduation,0.582
28,bishops,0.332,profeffor,0.398,uni,0.496,clarehall,0.444,professors,0.562,vicechancellor,0.563,rsity,0.606,uniyersity,0.827,univernity,0.864,unitersity,0.877,tniversity,0.66,versities,0.66,theological,0.576
29,knighthood,0.33,bishop,0.397,coliege,0.495,profellor,0.444,universities,0.561,exetercollege,0.563,varsity,0.606,uoiversity,0.827,univerbity,0.863,univenity,0.876,niversitv,0.66,unive,0.66,graduates,0.576
30,oxon,0.329,academy,0.397,vicechancellor,0.495,colleg,0.441,profelfor,0.56,collegc,0.556,professorship,0.606,unitersity,0.827,cniversity,0.863,unversity,0.875,universty,0.657,iversity,0.658,coliege,0.574
31,president,0.329,prebendaries,0.394,pembrokehall,0.493,elcted,0.44,profeflor,0.56,cullege,0.554,kingscollege,0.605,usiversity,0.825,universlty,0.861,usiversity,0.873,university—,0.655,mversity,0.648,colege,0.573
32,reverend,0.328,magistrates,0.393,gresham,0.492,univer,0.439,profeltor,0.556,ollege,0.553,collese,0.605,universily,0.822,universiy,0.861,fniversity,0.873,unitersity,0.653,college,0.641,physiology,0.571
33,magistracy,0.327,printinghouse,0.392,universities,0.492,cambiidge,0.438,gottingen,0.553,couege,0.553,uniiversity,0.604,univesity,0.822,uiniversity,0.853,univarsity,0.872,coilege,0.653,tjniversity,0.639,lecturer,0.571
34,chapter,0.325,universities,0.39,upsal,0.488,camnbridge,0.434,profeflbr,0.552,profesor,0.547,regius,0.603,unisersity,0.816,uuniversity,0.85,universty,0.871,universiy,0.653,professorship,0.638,pathology,0.569
35,universities,0.323,esqj,0.389,cambiidge,0.486,kennicott,0.434,profeffor,0.551,colleges,0.546,coilege,0.602,theuniversity,0.816,universityof,0.847,ulniversity,0.871,vereity,0.652,university—,0.635,tniversity,0.568
36,incomparable,0.322,bentley,0.389,colege,0.479,eletled,0.431,profellor,0.551,professors,0.544,trinitycollege,0.601,ulniversity,0.815,universitj,0.846,uiniversity,0.868,universi,0.651,vicechancellor,0.631,brasenose,0.564
37,walter,0.322,visitation,0.387,president,0.478,collegc,0.431,clarehall,0.545,brasennose,0.542,savilian,0.6,tuniversity,0.815,uniersity,0.846,univerrity,0.867,universitj,0.65,icechancellor,0.63,tjniversity,0.561
38,honor,0.32,dioceses,0.387,oxlord,0.478,canbridge,0.428,profefror,0.545,johnscollege,0.541,colleges,0.599,colleae,0.814,univarsity,0.845,uhiversity,0.866,unversity,0.649,universi,0.625,regius,0.557
39,grace,0.32,sometime,0.386,visitor,0.477,freeschool,0.426,student,0.533,trinitycoll,0.541,divinity,0.598,luniversity,0.813,usiversity,0.845,tuniversity,0.864,graduates,0.648,unirersity,0.623,zoology,0.556
40,complemented,0.319,fellow,0.386,colledge,0.474,fludents,0.426,collece,0.533,gonville,0.54,ollege,0.597,unversity,0.812,uriversity,0.845,theuniversity,0.864,lniver,0.644,jniversity,0.623,senatus,0.556
41,rochester,0.317,oxon,0.385,trinityhall,0.473,univei,0.426,regius,0.531,fellowof,0.539,cellege,0.596,colloge,0.811,theuniversity,0.844,uuiversitv,0.862,niversities,0.642,colloge,0.62,postgraduate,0.555
42,mous,0.317,archbishop,0.384,clarehall,0.472,profefror,0.426,profefior,0.529,student,0.538,collrge,0.594,univetsity,0.81,tuniversity,0.842,uriversity,0.862,uniersity,0.642,cohege,0.619,obstetrics,0.554
43,students,0.315,philosophy,0.383,feffor,0.471,antiquaries,0.424,provost,0.526,collegei,0.536,colleee,0.591,uaiversity,0.81,univerdity,0.842,lmversity,0.86,uiversity,0.641,heriotwatt,0.613,biochemistry,0.554
44,litchfield,0.314,physick,0.382,christchurch,0.47,grammarschool,0.423,collegeof,0.522,copleston,0.534,callege,0.59,tniversity,0.81,jniversity,0.841,univcrsity,0.858,umver,0.639,pharmacology,0.611,couege,0.553
45,commissioner,0.314,somersetshire,0.378,profefor,0.469,univerfities,0.423,lege,0.519,sidneycollege,0.533,untiversity,0.589,vniversity,0.807,uoiversity,0.839,iuiversity,0.857,graduate,0.634,physiology,0.606,uni,0.552
46,coventry,0.313,townclerk,0.377,savilian,0.465,cambride,0.422,students,0.515,clarehall,0.532,collece,0.589,ujniversity,0.807,univenity,0.839,univertity,0.857,uni,0.634,balliol,0.606,economics,0.552
47,lincoln,0.313,lordsjustices,0.376,oxfoid,0.462,vinity,0.422,profeftor,0.513,cllege,0.531,univer,0.586,utiversity,0.806,veraity,0.839,udiversity,0.855,iuniversity,0.632,lege,0.604,coilege,0.551
48,hamilton,0.313,archdeacon,0.375,lege,0.458,archdeaconry,0.422,divinity,0.512,graduates,0.53,utiversity,0.586,uiiversity,0.804,universiiy,0.838,utniversity,0.855,veraity,0.63,obstetrics,0.604,cohege,0.549
49,cornwall,0.313,smalridge,0.375,astronomy,0.456,phyticians,0.421,vinerian,0.511,brasenose,0.528,couege,0.583,oollege,0.804,uiiversity,0.838,univermity,0.854,versitv,0.628,ollege,0.603,ttniversity,0.545
50,formalities,0.313,president,0.374,grefham,0.453,divinity,0.419,cambridgc,0.511,magdalencoll,0.528,colleae,0.582,coliege,0.801,universities,0.837,univeritv,0.853,colkge,0.628,theological,0.603,cuddesdon,0.544
51,assistants,0.313,oxfordshire,0.373,vost,0.452,provoll,0.419,profefor,0.51,emmanuelcollege,0.528,uttiversity,0.578,mversity,0.801,unversity,0.837,univeriity,0.852,collego,0.627,delegacy,0.601,doctorate,0.543
52,theatre,0.312,sacheverel,0.373,botany,0.452,lociety,0.418,ofedinburgh,0.51,peterhouse,0.527,academicus,0.577,uriversity,0.8,unlversity,0.836,uiiversity,0.851,college,0.626,alumni,0.601,varsity,0.541
53,salamanca,0.311,students,0.372,colleg,0.448,towncouncil,0.417,licentiate,0.505,college—,0.526,colege,0.577,professorship,0.799,unaiversity,0.835,universitr,0.849,couege,0.62,univcr,0.601,colleee,0.54
54,cathedral,0.311,dr,0.372,unive,0.447,eleded,0.414,camibridge,0.504,collge,0.524,cohege,0.572,universitythe,0.799,niversity,0.835,univetsity,0.848,fniversity,0.618,gottingen,0.6,professor,0.54
55,epistle,0.31,assembly,0.367,harthall,0.447,bentham,0.413,colleges,0.503,divinity—,0.524,students,0.572,universiti,0.798,luiversity,0.832,luiversity,0.848,universitys,0.616,oollege,0.599,colleg,0.538
56,baronet,0.31,chichester,0.367,lausanne,0.444,inftalled,0.413,bisbop,0.503,students,0.522,academical,0.572,collece,0.798,iuiversity,0.832,universily,0.847,tjniversity,0.614,extramural,0.598,intervarsity,0.538
57,lieutenancy,0.309,bishops,0.366,rector,0.441,focietv,0.41,canbridge,0.502,profeffor,0.522,utniversity,0.571,univeroity,0.797,vereity,0.83,uuniversity,0.847,oollege,0.612,professor,0.598,scholarship,0.537
58,bilhop,0.309,colleges,0.366,sident,0.44,snciety,0.408,pembrokehall,0.497,oftrinity,0.522,lege,0.571,unlversity,0.796,univrsity,0.828,univer,0.846,lege,0.611,pathology,0.598,nology,0.536
59,parliament,0.308,vestry,0.364,divinity,0.44,saciety,0.408,camnbridge,0.495,magdalenhall,0.521,professor,0.57,cellege,0.795,uciversity,0.827,univrsity,0.846,univei,0.608,gynaecology,0.595,viceprincipal,0.534
60,divinity,0.307,sicians,0.364,proctors,0.44,profeflors,0.406,cambridge,0.494,arts—mr,0.521,collegc,0.568,collega,0.795,univsrsity,0.827,univerbity,0.846,colege,0.608,varsity,0.594,physics,0.534
61,nobility,0.305,reverend,0.364,oxiord,0.436,antiquarians,0.405,glasgow,0.491,johnscoll,0.52,versities,0.568,varsity,0.794,univeralty,0.823,upiversity,0.844,senatus,0.607,univei,0.594,dphil,0.532
62,honourably,0.305,berkshire,0.362,residentiary,0.435,baliol,0.405,residentiary,0.487,fessor,0.519,colleg,0.567,uniiversity,0.794,univer,0.823,unaiversity,0.843,coliege,0.606,coilege,0.592,professors,0.531
63,exon,0.304,senior,0.361,collcge,0.43,pbyfic,0.405,canibridge,0.486,marischal,0.515,johnscollege,0.567,collegc,0.793,ujniversity,0.821,lniversitv,0.842,collesre,0.602,vicechan,0.59,sorbonne,0.531
64,cumberland,0.304,lectures,0.36,cambridgc,0.429,sociey,0.404,graduate,0.485,irinity,0.515,collego,0.567,versitv,0.793,fniversity,0.821,universiti,0.841,oollego,0.602,collego,0.59,faculty,0.531
65,gloucester,0.303,episcopal,0.36,student,0.426,univcr,0.402,mastership,0.484,lege,0.513,collegei,0.565,unliversity,0.792,univerelty,0.821,niversity,0.841,matriculated,0.601,uni,0.589,prizeman,0.529
66,tutor,0.303,shropshire,0.36,dobson,0.426,claflical,0.401,graduates,0.483,vicechan,0.513,cllege,0.564,coilege,0.792,uliversity,0.82,univensity,0.84,divinity,0.601,profeesor,0.586,balliol,0.528
67,hebrew,0.303,bisse,0.359,mastership,0.425,eledled,0.401,vicesimus,0.479,licentiate,0.512,coliege,0.564,universlty,0.79,uniyersity,0.819,umiversity,0.838,unive,0.6,lectureships,0.586,undergraduates,0.525
68,lancaster,0.302,mathematicks,0.358,archbishop,0.425,claffical,0.399,vicechancellor,0.477,trinityhall,0.511,oftrinity,0.563,univcrsity,0.79,univertity,0.819,universityi,0.837,matriculating,0.6,hunterian,0.584,philosophy,0.524
69,chapel,0.302,parliament,0.358,magistrates,0.423,uni,0.399,cambride,0.477,graduate,0.511,profesor,0.562,university—,0.787,umiversity,0.819,cuiversity,0.837,university—a,0.599,professorships,0.584,gradua,0.522
70,physicians,0.301,bisliop,0.358,oriel,0.422,eletted,0.398,rrinity,0.476,chelors,0.509,convocation,0.561,colege,0.786,utniversity,0.818,ersity,0.837,cohege,0.599,couege,0.582,student,0.521
71,gilbert,0.301,marshall,0.358,fellowship,0.42,eleced,0.398,diocese,0.476,duate,0.509,magdalenhall,0.56,niversitv,0.785,uuiveraity,0.817,tiniversity,0.836,sities,0.598,regius,0.58,univers,0.521
72,salop,0.3,christi,0.357,allsouls,0.42,elefted,0.395,bishopof,0.475,cambridge,0.508,cullege,0.559,cullege,0.785,univeesity,0.817,universitj,0.836,gollege,0.597,readership,0.58,chb,0.519
73,devon,0.3,cellor,0.357,doctors,0.419,phfic,0.394,marischal,0.474,convocation,0.507,divinitv,0.557,ersity,0.784,uuiversitv,0.816,ujniversity,0.836,academicus,0.596,students,0.579,phd,0.518
74,written,0.3,jesuits,0.356,leyden,0.418,eleed,0.393,fludent,0.472,caiuscoll,0.506,vinerian,0.555,graduates,0.783,utiversity,0.816,uliversity,0.836,professorship,0.593,senatus,0.578,tripos,0.518
75,shrewsbury,0.3,waugh,0.354,christi,0.418,magazine,0.393,bisnop,0.472,catherinehall,0.504,undergraduates,0.554,codege,0.781,universitythe,0.815,universlty,0.835,luniversity,0.592,piofessor,0.578,preceptors,0.517
76,shire,0.3,prolocutor,0.354,vicechan,0.418,soriety,0.392,cambiidge,0.467,exetercoll,0.504,duates,0.554,univrsity,0.78,univessity,0.815,uuiverity,0.835,coßege,0.591,sorbonne,0.577,bacteriology,0.517
77,phyfick,0.3,bromley,0.353,pbysick,0.418,univerfi,0.392,profcffor,0.467,cambridge—,0.503,universi,0.552,collsge,0.778,lmversity,0.814,unriversity,0.834,cniver,0.591,bacteriology,0.576,edb,0.517
78,disciples,0.3,whiston,0.353,lectures,0.413,regius,0.392,feffor,0.465,profeflor,0.5,catherinehall,0.551,colleg,0.778,mversity,0.814,vereity,0.834,postgraduate,0.59,biochemistry,0.576,studying,0.512
79,orthodox,0.3,provoft,0.353,fellow,0.411,provoft,0.391,leurer,0.464,brazennose,0.498,colloge,0.55,colleee,0.778,lniversities,0.814,runiversity,0.833,graduation,0.59,collesre,0.576,graduated,0.512
80,pomp,0.299,shippen,0.353,mawson,0.411,parifhchurch,0.391,oriel,0.463,emmanuel,0.497,cambridge,0.548,regius,0.777,uniiversity,0.813,juniversity,0.833,professorships,0.587,collega,0.574,interuniversity,0.512
81,gover,0.299,kennet,0.352,collge,0.411,cambridgc,0.39,univerfities,0.462,norrisian,0.497,trinityhall,0.548,triculated,0.776,tniversity,0.812,universitythe,0.832,iversity,0.587,physics,0.571,oollege,0.511
82,octavo,0.299,carlisle,0.352,jesuites,0.41,elefed,0.389,trinitv,0.462,cohere,0.496,jesuscollege,0.546,colleze,0.775,urniversity,0.809,versities,0.832,student,0.586,zoology,0.571,classics,0.51
83,buckingham,0.298,uni,0.351,doctor,0.407,deanery,0.389,baliol,0.461,coillege,0.496,scholarships,0.545,lege,0.775,univeraities,0.808,universiry,0.831,coflege,0.585,colege,0.57,seminary,0.509
84,author,0.298,nity,0.35,simson,0.407,phytic,0.389,prebendary,0.461,llege,0.496,collige,0.543,utniversity,0.774,universtty,0.808,uniiersity,0.831,coiiege,0.583,psychiatry,0.568,jurisprudence,0.507
85,teacher,0.297,city,0.35,physick,0.406,carnbridge,0.387,edinburgli,0.461,tiinity,0.495,wadhani,0.542,uiiiversity,0.772,universityand,0.806,univsrsity,0.83,lectureship,0.583,divinity,0.568,geology,0.507
86,noblemen,0.297,fellows,0.348,elected,0.406,qxford,0.387,physicians,0.46,academical,0.495,graduate,0.539,collepe,0.772,univercity,0.806,unlversity,0.83,oilege,0.583,univers,0.567,studies,0.505
87,approbation,0.296,mughouse,0.348,visitors,0.406,fociety,0.386,llege,0.458,trinitv,0.494,professorships,0.539,ollege,0.771,univelsity,0.805,unisersity,0.829,icechancellor,0.582,cambridge,0.567,fessor,0.504
88,invited,0.296,consecration,0.348,censors,0.405,oxfordi,0.386,bendary,0.458,sity,0.494,gottingen,0.538,uliversity,0.77,ersity,0.804,rersity,0.829,vicechancellor,0.578,peterhouse,0.567,archaeology,0.504
89,physics,0.295,trinity,0.348,bishop,0.405,societyof,0.385,philosophy,0.458,fellow,0.493,eundem,0.538,colleoe,0.768,rsity,0.804,euniversity,0.828,chemistry,0.578,academicus,0.564,undergraduate,0.502
90,doctor,0.294,lege,0.347,oxtord,0.405,licentiates,0.384,lcttres,0.458,univer,0.492,collge,0.537,iversity,0.768,versities,0.804,uniiversity,0.827,colletre,0.577,geology,0.564,chemistry,0.5
91,winchester,0.294,elected,0.346,sometime,0.405,twopencehalfpenny,0.384,sity,0.454,colleg,0.491,college—the,0.537,collge,0.767,univeroity,0.803,uuiveisity,0.825,colleae,0.576,coliege,0.563,lectureship,0.499
92,deputy,0.294,lancashire,0.345,collegc,0.405,patriotism,0.384,reacher,0.454,scholar,0.49,brazenose,0.536,callege,0.766,universitt,0.802,uuivereity,0.824,colltge,0.575,graduation,0.562,academic,0.499
93,introduced,0.293,brary,0.345,charterhouse,0.405,reelected,0.383,oxford,0.45,balliol,0.49,chrisli,0.535,eollege,0.765,universiry,0.8,cniversitv,0.824,ttniversity,0.574,chemistry,0.562,sciences,0.499
94,expressions,0.293,theology,0.344,glasgow,0.404,soclety,0.383,profeflors,0.45,caius,0.486,cbristi,0.535,unsiversity,0.765,universily,0.798,utiversity,0.824,students,0.574,philosophy,0.561,grammar,0.499
95,barons,0.293,curate,0.343,archbishoprick,0.403,membr,0.382,lefturer,0.449,undergraduate,0.484,tollege,0.534,collcge,0.764,uaiveraity,0.797,1university,0.824,fessorship,0.57,fessor,0.561,anatomy,0.497
96,honour,0.293,esquire,0.342,schoolmaster,0.403,sotiety,0.38,oxfbrd,0.449,elligeace,0.484,coltege,0.534,trinitycollege,0.764,universites,0.793,universtty,0.823,coilego,0.568,colleee,0.56,degree,0.496
97,esquire,0.292,lecturer,0.342,univerfi,0.403,societv,0.38,profession,0.449,diocese,0.484,fessorship,0.533,colleire,0.764,professorship,0.793,tniversity,0.823,physics,0.568,caius,0.56,academy,0.495
98,isaac,0.292,church,0.341,grammarschool,0.402,gospel,0.38,trinity,0.448,degrees—,0.482,cillege,0.533,collegea,0.763,universiti,0.792,versitv,0.821,divinitv,0.566,dogmatics,0.56,jordanhill,0.495
99,historians,0.291,recorder,0.341,vinity,0.402,commemoration,0.38,reetor,0.447,edmundhall,0.479,senatus,0.531,university—the,0.762,college,0.789,universitf,0.821,vicechancellors,0.566,professors,0.558,bsc,0.494
