,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,paikasa,0.681,kieli,0.673,kansakin,0.864,kansakin,0.868
1,hinnasta,0.657,kieltä,0.652,kausa,0.85,kania,0.828
2,talosa,0.638,rahwas,0.616,rahmas,0.714,kausa,0.811
3,tila,0.632,rahmas,0.592,nuoriso,0.714,lausa,0.798
4,maalla,0.603,kansan,0.59,rahwas,0.711,kanja,0.776
5,kyläsä,0.601,nuoriso,0.585,kieli,0.683,lansa,0.745
6,samasa,0.582,kielelle,0.558,kansakunta,0.683,kaiisa,0.733
7,asiasta,0.577,suku,0.555,hallituskin,0.677,nuoriso,0.719
8,kylän,0.573,simistys,0.552,lausa,0.649,nuorisokin,0.711
9,muitten,0.572,maakunta,0.546,yhteiskunta,0.643,kailsa,0.701
10,taan,0.554,sääty,0.54,kansan,0.632,knnsa,0.698
11,myydä,0.553,kansassa,0.534,ihmiskunta,0.631,tausa,0.69
12,kaupungisa,0.546,kieleen,0.522,simistys,0.628,kansn,0.687
13,kauppa,0.545,kristillisyys,0.515,kansaa,0.627,rahmas,0.679
14,kaupunnin,0.532,yleisö,0.507,kansallisuus,0.624,rahwas,0.665
15,kaupun,0.519,maailma,0.506,yleisö,0.622,ylioppilasnuoriso,0.661
16,kaupaksi,0.516,kirjallisuus,0.5,mäestö,0.62,lanfa,0.656
17,kirkon,0.513,kielen,0.499,sanomakirjallisuus,0.619,lanja,0.655
18,likellä,0.513,kieltämme,0.498,papisto,0.617,länsa,0.65
19,alle,0.511,kansalta,0.498,kansassa,0.616,fanfa,0.644
20,myyä,0.505,seurakunta,0.494,seurakunta,0.612,kansan,0.639
21,ostaa,0.505,kansalla,0.489,kansamme,0.612,kansakunta,0.635
22,nin,0.501,siwistys,0.489,siwistys,0.609,nnoriso,0.623
23,uusi,0.5,luonto,0.488,työkansa,0.602,papisto,0.621
24,kaupungin,0.498,suomemme,0.482,moni,0.6,uuoriso,0.618
25,täsä,0.496,kielemme,0.48,suomalaisuus,0.59,kansallistunto,0.614
26,saapi,0.493,kansaa,0.476,kieltä,0.588,mäestö,0.61
27,suhteen,0.493,soitto,0.468,hallitus,0.586,sukupolmi,0.609
28,nimisesä,0.491,kansamme,0.461,maakunta,0.584,kausan,0.606
29,kaupunnisa,0.49,suomelle,0.461,isänmaa,0.584,seurakunta,0.604
30,maasa,0.488,jokainen,0.46,kansalainen,0.584,luonto,0.604
31,pietarin,0.486,herännyt,0.46,kausan,0.579,mäcstö,0.602
32,kartanon,0.483,papisto,0.458,tieli,0.576,kansallishenki,0.602
33,kirjoja,0.481,olo,0.458,lansa,0.576,väestö,0.601
34,',0.478,kielten,0.457,pääkaupunki,0.575,kristikunta,0.6
35,omaa,0.473,ruotsi,0.456,mäcstö,0.57,luontokin,0.6
36,haluaa,0.469,moni,0.452,maailma,0.564,sanomalehdistö,0.599
37,samaa,0.466,himo,0.449,silvistys,0.564,kansamme,0.599
38,niitten,0.465,kansakunnan,0.448,kansaksi,0.563,kielikin,0.599
39,heijän,0.462,suomenmaa,0.444,jokainen,0.56,ihmiskunta,0.598
40,miesten,0.46,maassa,0.442,lähetysseura,0.559,wäestö,0.598
41,etelä,0.456,lansa,0.441,kansalta,0.558,kansassakin,0.596
42,samoin,0.456,mielessä,0.441,puolue,0.558,hallitsija,0.593
43,kruunun,0.453,isämme,0.436,tansan,0.551,nuorisomme,0.592
44,josa,0.452,heissä,0.436,kielen,0.551,kansahan,0.591
45,hywiä,0.451,bän,0.435,kansaan,0.55,lansalin,0.589
46,sukua,0.45,kielestä,0.435,kansalla,0.547,simistys,0.589
47,wenäjän,0.449,ihminen,0.434,wäcstö,0.546,kieli,0.589
48,wasten,0.448,kauan,0.434,nuorisomme,0.546,kansa^,0.585
49,ensiksi,0.444,suomenkieli,0.433,väestö,0.544,työwäestö,0.584
50,yhteinen,0.442,jaloin,0.429,wäestö,0.544,työmäestö,0.582
51,paikan,0.441,kainen,0.427,maatansa,0.541,kansankin,0.581
52,ilmottaa,0.44,hanki,0.427,luonto,0.541,tansan,0.58
53,palkinnon,0.44,talonpoikainen,0.426,lieli,0.539,tansau,0.578
54,mainittuun,0.436,kielessä,0.426,harrastus,0.538,wäcstö,0.576
55,talon,0.436,wallan,0.425,edistys,0.538,opettajisto,0.575
56,tuomarin,0.434,semme,0.423,mieli,0.535,kansalainen,0.574
57,leski,0.431,muuttua,0.423,mieli-ala,0.534,siwistys,0.57
58,ensi,0.43,tunto,0.422,kausaa,0.534,fansa,0.57
59,kaupunkiin,0.43,maansa,0.422,kansallisuuden,0.534,lausau,0.569
60,koko,0.429,hän,0.42,länsan,0.531,sukupolwi,0.569
61,kaupunnista,0.427,kuulua,0.419,valtakunta,0.525,kanfa,0.568
62,läpi,0.426,olento,0.417,kansau,0.524,polmi,0.567
63,joukko,0.426,maailman,0.416,ruotsalaisuus,0.523,työkansa,0.567
64,pitäjäsä,0.424,kansansa,0.416,simistykscn,0.523,kansallistunne,0.566
65,mainittua,0.423,järki,0.415,kirjallisuus,0.522,kansassa,0.565
66,löytty,0.422,raaka,0.415,kansat,0.517,eduskunta,0.564
67,yhteisesti,0.419,uskoa,0.415,ihmishenki,0.517,luoja,0.564
68,erittäin,0.418,kielellä,0.413,seura,0.516,puolue,0.563
69,talonpojan,0.416,kauwan,0.412,nuorisoa,0.516,kansalla,0.563
70,oulun,0.416,mielen,0.412,walistus,0.514,papistomme,0.561
71,frankriikin,0.415,kunniaa,0.41,tieltä,0.513,työwäki,0.56
72,pitkin,0.411,mieli,0.409,maltakunta,0.513,maestö,0.56
73,nimisen,0.409,maailmaan,0.408,länsa,0.513,iväestö,0.559
74,erinomaisesti,0.409,maatansa,0.408,kansansa,0.512,ylimystö,0.559
75,sekä,0.408,se,0.405,kielemme,0.512,rahlvas,0.558
76,joitten,0.408,äidin,0.404,nuorisosta,0.51,lähetysseura,0.558
77,barckin,0.407,ajattelemaan,0.404,hän,0.51,papistokin,0.557
78,kans,0.405,pelko,0.404,suku,0.51,kansansa,0.557
79,kuuluu,0.404,tuntea,0.403,tulewaisuus,0.508,lnonto,0.556
80,kalua,0.403,edis,0.401,paikkakunta,0.507,mäeslö,0.553
81,mainitusa,0.403,oppia,0.4,sotalaitos,0.507,köyhälistö,0.553
82,paikalla,0.403,kielillä,0.399,aate,0.507,kansaksi,0.552
83,masten,0.402,kieliä,0.399,simistyksen,0.506,seura,0.552
84,kaupunkia,0.402,totuus,0.399,monikin,0.504,rahvas,0.551
85,mainittu,0.401,meno,0.398,henki,0.504,ihmismieli,0.551
86,lisäksi,0.399,yleinen,0.397,tausa,0.504,lnnsa,0.551
87,toimittaa,0.399,kukaan,0.397,kansallisuutensa,0.503,asujamisto,0.549
88,tiedon,0.397,halu,0.397,isänmaatansa,0.501,kirkkokunta,0.549
89,tienoilla,0.396,ajatus,0.397,kausau,0.5,yleisö,0.549
90,tulleen,0.395,voiton,0.396,kansallinen,0.499,maltakunta,0.547
91,taloon,0.395,elämään,0.395,kansaamme,0.499,kansallisuus,0.547
92,huonetta,0.394,monikin,0.394,simistyneen,0.498,työmäki,0.546
93,tasa,0.394,aikansa,0.393,seurakuuta,0.498,pääkaupunki,0.546
94,myydään,0.394,into,0.393,mailma,0.496,kansaa,0.544
95,olemaan,0.393,paami,0.392,kieltämme,0.496,valtakunta,0.54
96,katosi,0.392,kansasta,0.392,kristillisyys,0.496,paikkakunta,0.54
97,joisa,0.391,isänmaan,0.392,se,0.496,opisto,0.54
98,paikkaan,0.39,luon,0.389,paami,0.495,wäeslö,0.539
99,sillon,0.387,säätyä,0.389,historiansa,0.494,luouto,0.537
